id_criptografado,nome_subar
ade49fd67b9a31e778f07b87be3f516c5a40451b093639ff47d584be515f494c,Estações São Francisco Xavier - Afonso Pena
be851a83746ad16e82e28620ccb72b84bdfde2f13ee2ec8bf8c0cd56835491ce,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
0d8768de3f6756f2f1c8e8270e2f1395c3a246005cc925b0cab145d35a2bebfd,Rodoviária - Terminal Gentileza - Estação Leopoldina
fe96e3f20146c842ddc31c2953a8f995ed359ea1ee441136df4e92382c8e753b,Estações São Francisco Xavier - Afonso Pena
b9a5ea327c39f0c5de52428919fe469e3c1a4d236f7b29c75a2f8bae8af225a2,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
67be086d9dd6595f646c6d86c37c8e03d35f2ae181984cd9555a26cc351a0d21,Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria
b36315e64fd6617e921b90cd1268876b6964ff41eec0579bfe99a424312aa846,Rodoviária - Terminal Gentileza - Estação Leopoldina
bf4237691040f3cc9f53eaaa1a133653b43b3c595a085ce3273b2fa87718655c,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
b1867507dc770a96d459a4b56e9fd237cb3a9189bab4f16e7fc5eb68d5543eed,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
07d94d190548ff20c5dca4daa1107e6239f84ee926416ac737b48a18f2a8214c,Rodoviária - Terminal Gentileza - Estação Leopoldina
1b0596cee5e786ef188932981cd62f1a496490037d759dc05f5ebd8e92466504,Estações São Francisco Xavier - Afonso Pena
b9bd4440b8cb7a06b2aacc111c0cfef971ed37aceb486ca10864a5ece6f2dce6,Estações São Francisco Xavier - Afonso Pena
bd90e49b4e18fd02180393321a12384b636de02d834f75a67a3936476d2daf01,Estações São Francisco Xavier - Afonso Pena
3d9df6d09d25f11789753792c74aa307a0a70e637dd886d99a7ec6f56a5f6ef7,Campo Grande: Estação de Trem - Calçadão
6fbdabc40052eac16c780dcc159e94b266d83277cb6b300c89a3e1bf2cb3e21b,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
1b8c28d8055a0c0caaba684379d6fba82dd021c515d2ce6079a30fcdcabbce60,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
39ea968f8a9490394d5101f436d9efa2f5e7561fe39fc82ef5813d106c76524e,Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria
8a277c0764959ea389fa382789450ebca5e0acb58493e56d25d15507d46180a9,Estações São Francisco Xavier - Afonso Pena
fa117482eca58fcac58e1be8cae1d2da744477d7ac0964704e116aabb022f2c2,Campo Grande: Estação de Trem - Calçadão
dc9ebc4e00595504b9db2d9f5f8777a0e19dfd9e5741ade320ea6f1a235cda57,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
efc060a07169e566a86bd360f1c6b73b4b857e93bae46a1afb79a5ccda21aa7e,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
ea74b9f0b0c707ef96b53de1d8250dc8f204d0e4a553a99f14fd845e54821954,Rodoviária - Terminal Gentileza - Estação Leopoldina
0b3e88556ce7158fdd42092543fb4101039c8c61a27d0c27cc7fae43e8463921,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
0b1ba2886bd72986727bb5ef17df95d0d876adb28ae6e29c04da8bc3c26b9b75,Rodoviária - Terminal Gentileza - Estação Leopoldina
43390ebd38e4583ac793f88f9fe093b5aae944c69c8c8ef8385cef70295f33ce,Praia de Botafogo - Rua Marquês de Abrantes
81812d4f34f269cd9ab009ef41f32c0b83710898392574c7fff7db302cefcef5,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
fe3d16adb32897bed95c5a224838abcd22e8d38e0ba033780cb57435a06e5155,Rodoviária - Terminal Gentileza - Estação Leopoldina
de007329695850784dadd850962287956a7a1f36087e0a3528d207ed21194769,Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria
d601de50fe32f03c190e57d03fbe57e88f3c9566240e88e54af3e5c4270a3658,Estações São Francisco Xavier - Afonso Pena
e70d955932b47d221e53429679267600726e613675bb3c85fa54095e11187f35,Estações São Francisco Xavier - Afonso Pena
6a1a1232cedfec5b0993acd50264c556f3afc083931a5afadf6640da99b1ccad,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
7a6d798d7298bc75d4711ba2139e1bd01e2ec5883a48c6dc45bf8830f70b910f,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
9ebf10bef8a5181107ab9c32f1948f69ed9ad93c1dc6b6b2661afb4d4a543be9,Rodoviária - Terminal Gentileza - Estação Leopoldina
b8acd916a64cbb3c3e74a980c98a94a77f8b7e5523c9f70009c937805709dfa2,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
d07c26e005ac7990b11cddcacb97bcb9251631427bf480a494a1135ff8ce3ba0,Estações São Francisco Xavier - Afonso Pena
8a0635abb69379eab1b12be07ed679fe8cda52bed3aab358b95f189007b1e216,Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria
95d432ecb25798bfdb1b259481bea5dc471b7e59972cf859cada6d10ab03be80,Praia de Botafogo - Rua Marquês de Abrantes
af01b27da236f9825a7b2e39a520ddfc5de2d18c0ce791e433766f9ff4f25b30,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
d8546574733f4de1c23a44c84e64d65141271a55b9d9e2e86a32b9fca0c12a0a,Jardim de Alah
1d38f9e040a803aaa8c9d0993f954f7cee235d939a92b56ad8a297b18ea19ba2,Estações São Francisco Xavier - Afonso Pena
688d66ac19133b3e2f02db5a30513fa0761cfab36d9b43af94ca316c7f8ba676,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
5634a8e36f0ea98ea45e7f467fea9eab45d84a3864842554e78cdf9b069cebea,Rio Sul
84cfa48679b75c71f01032b755ef6ddbdc17136b9dd98a88426f2072a1716f9a,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
3690def9ffe8bcf7cedf1c20761955e0324cb8185e54533993a9bb13d80da039,Estações São Francisco Xavier - Afonso Pena
cd7de2a039535afd6119de0c111ffa6ebd13d80fa975d87c08b8afa35e63d018,Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria
9261be2965b459d8dc2d55f7b728f0094294d5fe80a08068488bbecae8670ffa,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
c4595b37c6903df740e8154b487d05f77632132aa1e27efc39d79370f0574189,Estações São Francisco Xavier - Afonso Pena
1ff48963b8dccc8ae1fe752f9e4bdfcc91df9aab74f9a0b019382f98d40891db,Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia
